District,Crop,Price Date,Crop Price (Rs per quintal)
Ariyalur,Banana,Jan-15,1830
Ariyalur,Banana,Jan-15,1820
Ariyalur,Banana,Feb-15,1730
Ariyalur,Banana,Mar-15,1780
Ariyalur,Banana,Apr-15,1900
Ariyalur,Banana,May-15,1850
Ariyalur,Banana,Jun-15,1845
Ariyalur,Banana,Jun-15,1875
Ariyalur,Banana,Jul-15,1850
Ariyalur,Banana,Aug-15,1890
Ariyalur,Banana,Sep-15,1710
Ariyalur,Banana,Oct-15,1750
Ariyalur,Banana,Oct-15,1715
Ariyalur,Banana,Nov-15,1725
Ariyalur,Banana,Dec-15,1730
Ariyalur,Banana,Jan-16,1810
Ariyalur,Banana,Feb-16,1765
Ariyalur,Banana,Mar-16,1835
Ariyalur,Banana,Mar-16,1830
Ariyalur,Banana,Apr-16,1870
Ariyalur,Banana,May-16,1840
Ariyalur,Banana,Jun-16,1800
Ariyalur,Banana,Jul-16,1730
Ariyalur,Banana,Aug-16,1830
Ariyalur,Banana,Sep-16,1765
Ariyalur,Banana,Oct-16,1820
Ariyalur,Banana,Oct-16,1835
Ariyalur,Banana,Nov-16,1805
Ariyalur,Banana,Dec-16,1755
Ariyalur,Banana,Jan-17,1710
Ariyalur,Banana,Feb-17,1860
Ariyalur,Banana,Feb-17,1860
Ariyalur,Banana,Mar-17,1740
Ariyalur,Banana,Apr-17,1765
Ariyalur,Banana,May-17,1870
Ariyalur,Banana,Jun-17,1760
Ariyalur,Banana,Jul-17,1735
Ariyalur,Banana,Jul-17,1830
Ariyalur,Banana,Aug-17,1800
Ariyalur,Banana,Sep-17,1850
Ariyalur,Banana,Oct-17,1810
Ariyalur,Banana,Nov-17,1830
Ariyalur,Banana,Nov-17,1735
Ariyalur,Banana,Dec-17,1845
Ariyalur,Banana,Jan-18,1755
Ariyalur,Banana,Feb-18,1750
Ariyalur,Banana,Mar-18,1900
Ariyalur,Banana,Apr-18,1825
Ariyalur,Banana,May-18,1720
Ariyalur,Banana,May-18,1890
Ariyalur,Banana,Jun-18,1860
Ariyalur,Banana,Jul-18,1840
Ariyalur,Banana,Aug-18,1850
Ariyalur,Banana,Sep-18,1780
Ariyalur,Banana,Oct-18,1755
Ariyalur,Banana,Nov-18,1810
Ariyalur,Banana,Dec-18,1870
Ariyalur,Banana,Jan-19,1770
Ariyalur,Banana,Mar-19,1765
Ariyalur,Banana,Apr-19,1875
Ariyalur,Banana,May-19,1790
Ariyalur,Banana,Jun-19,1725
Ariyalur,Banana,Jul-19,1745
Ariyalur,Banana,Sep-19,1870
Ariyalur,Banana,Oct-19,1770
Ariyalur,Banana,Nov-19,1830
Ariyalur,Banana,Dec-19,1755
Ariyalur,Banana,Feb-20,1900
Ariyalur,Banana,Mar-20,1900
Ariyalur,Banana,Apr-20,1800
Ariyalur,Banana,May-20,1820
Ariyalur,Banana,Jun-20,1805
Ariyalur,Banana,Aug-20,1830
Ariyalur,Banana,Sep-20,1845
Ariyalur,Banana,Oct-20,1735
Ariyalur,Banana,Nov-20,1815
Ariyalur,Banana,Dec-20,1870
Ariyalur,Banana,Dec-20,1855
Ariyalur,Banana,Jan-21,1805
Ariyalur,Banana,Feb-21,1870
Ariyalur,Banana,Mar-21,1730
Ariyalur,Banana,Apr-21,1740
Ariyalur,Banana,May-21,1775
Ariyalur,Banana,Jun-21,1715
Ariyalur,Banana,Jul-21,1760
